Carimbo de data/hora,Eixo temático,Título do trabalho,Resumo,Palavra-chave 1,Palavra-chave 2,Palavra-chave 3,Palavra-chave 4,Palavra-chave 5
17/03/2023 11:15:22,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,A RELEVÂNCIA DO LETRAMENTO DIGITAL NO PERCURSO DO PROCESSO DE ENSINO E APRENDIZAGEM NA PANDEMIA: A REALIDADE DE MINAS GERAIS,"O presente estudo analisa a relevância do letramento digital no percurso do processo de ensino e aprendizagem no período da pandemia. É notório que todos os sistemas educacionais, tanto das redes particulares quanto das públicas se reinventaram com a finalidade de atender os alunos durante quase dois anos na metodologia remota e posteriormente híbrida de maneira a oferecer possibilidades de aprendizagem frente às diversidades de realidades. Nesse sentido tanto professores quanto alunos passaram por esse processo de adaptação onde inúmeras metodologias foram válidas enquanto que outras não contribuíram significativamente, ocasionando de tal forma prejuízos irreparáveis à aprendizagem. A metodologia utilizada nesse trabalho teve como base a pesquisa qualitativa, pois, o texto teve como finalidade discutir a relevância do letramento digital no percurso do processo de ensino e aprendizagem na pandemia no Estado de Minas Gerais. Segundo Coscarelli e Ribeiro (2007), Soares (2002), Tapscott (1999) é possível verificar quão grande a importância da escola fazer das novas tecnologias reais instrumentos pedagógicos apostando na vivência e na familiaridade com tais instrumentos como um diferencial no processo de formação desses indivíduos. Enfim, o letramento digital constituiu na pandemia e constitui num processo desafiador e requer que a escola, a exemplo do período da pandemia, repense o ensino e a possibilidade de letrar seus alunos sob a perspectiva da nova sociedade da informação e aquisição de novos conhecimentos.", Letramento digital,Ensino e aprendizagem, Pandemia,Educação Básica,ND
17/03/2023 11:16:30,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,AS METODOLOGIAS DE ENSINO E A AUTONOMIA DO ALUNO NA EAD: ESTUDO DE CASO NO CURSO DE ADMINISTRAÇÃO PÚBLICA DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA,"O professor contemporâneo deve conduzir os estudantes em um caminho em direção ao saber fazer, participar e colaborar. Os alunos devem estar inseridos nas disciplinas e trocar conhecimentos entre si e com o professor. Deste modo, este trabalho propõe discutir e analisar o uso de Tecnologias Digitais de Informação e Comunicação (TDICs) e o formato das disciplinas da Educação a Distância do curso de bacharelado em Administração Pública da Ponta Grossa. Para isso, serão levadas em conta as pesquisas de avaliação aplicadas nas disciplinas do segundo semestre de 2021. A partir dessa análise, será verificado se esse curso trabalha somente com aulas expositivas ou se integra metodologias ativas de aprendizagem em suas disciplinas. Desse modo, constatou-se a necessidade do curso apresentar um currículo inovador, embora tenha verificado uma certa tendência de utilização de metodologias ativas em algumas aulas.",Metodologias Ativas de Aprendizagem,Administração Pública.,TDICs,ND,ND
17/03/2023 11:18:23,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,AS REDES SOCIAIS ESCOLHIDAS POR ESTUDANTES DO ENSINO MÉDIO,"Este texto apresenta os resultados de um estudo realizado com a participação de estudantes do ensino médio técnico, em uma instituição pública, dentro do contexto pandêmico. Um levantamento de opiniões on-line foi adotado a fim de ter acesso às perspectivas dos estudantes de três cursos a respeito de seus perfis digitais no que tange, principalmente, às redes sociais mais utilizadas para estudarem e aprenderem inglês durante o ano letivo de 2021. Um dos objetivos foi o de compreender o comportamento digital do público-alvo e, com isso, incentivar ensino-aprendizagem de inglês por meio das redes sociais de maior interesse dos alunos. Os resultados indicaram a importância dessas redes para os estudantes e o interesse deles por algumas delas em detrimento de outras, e também a necessidade de se fomentar a inclusão digital (LEFFA, 2016; LÉTTI, 2013; COLL & MONEREO, 2010; VYGOTSKY, 1998).",redes sociais, estudantes do ensino médio, inglês,ND,ND
17/03/2023 11:19:29,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,AS TECNOLOGIAS HIPERTEXTUAIS E A APRENDIZAGEM DA LEITURA E DA ESCRITA NA ESCOLA,"O advento dos dispositivos hipertextuais na educação têm gerado discussões, e, por conseguinte, originado um número expressivo de pesquisas tratando do tema. As modificações digitais impactam de forma cada vez mais profunda o cotidiano das pessoas. Outrossim, é inegável, que até o marco da pandemia de COVID-19, as implicações das ferramentas digitais na educação se faziam bem mais limitadas que hoje. Com efeito, as tecnologias hipertextuais em âmbito escolar podem fomentar o processo de emancipação social do indivíduo ao conceder infinitas possibilidades de escolhas sobre os caminhos da aprendizagem, mas isso exige que as instituições de ensino disponham de competências técnicas e pedagógicas apropriadas. Assim, objetiva-se neste trabalho tecer uma análise crítica/reflexiva acerca da utilização dos aparatos tecnológicos hipertextuais, como elementos adjuvantes no desenvolvimento da leitura e da escrita. A abordagem bibliográfica foi escolhida para fundamentar o itinerário do artigo. Em linhas gerais, o estudo revelou que os suportes tecnológicos hipertextuais podem potencializar ou mecanizar o sistema de apreensão de saberes, a depender dos objetivos, dos valores e dos contextos sociais nos quais estão inseridos.",Escola,Leitura,Escrita,Tecnologias hipertextuais,ND
17/03/2023 11:21:25,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,A TEORIA DA DISTÂNCIA TRANSACIONAL EM DISCUSSÃO: RESSIGNIFICANDO AS PERSPECTIVAS DE TEMPO E ESPAÇO,"O presente trabalho discute a importância de se adotar estratégias pedagógico-comunicacionais em cursos na modalidade à distância, de modo a tornar a experiência de ensino-aprendizagem mais dialógica e diminuir a chamada distância transacional, sensação comum em experiências de ensino pouco voltadas para o diálogo, e que tem sido responsável por um alto índice de evasão em cursos virtuais. A temática apresenta-se cada vez mais relevante, sobretudo se pensarmos que a modalidade à distância está cada vez mais presente em escolas e universidades, o que foi exacerbado durante o período de isolamento social motivado pela pandemia de Covid-19. Entre as estratégias utilizadas nessa modalidade de ensino, analisaremos sobretudo os fóruns e webconferências (ou lives) como espaços de trocas entre estudantes e professores (ou facilitadores), valendo-nos dos trabalhos de Otsuka; Pendenza; Zanotto (2010), Zanotto, Kawakami e Pendenza (2012), Moore (2002), entre outros. Como estudo de caso (EISENHARDT, 1989; YIN, 2009), mostraremos como essas estratégias se dão na UNIVESP (Universidade Virtual do Estado de São Paulo), instituição de ensino criada em 2012 visando a universalização do ensino superior.",Distância Transacional,Estratégias pedagógico-comunicacionais,UNIVESP,Ensino à Distância,ND
17/03/2023 11:22:29,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,ATIVIDADES PRÁTICAS E ENSINO DE BIOLOGIA NO ENSINO REMOTO EMERGENCIAL,"O Ensino Remoto Emergencial foi adotado por diversas escolas durante a pandemia de COVID-19. Apesar de ter possibilitado a continuidade das atividades educacionais, apresentou diversos problemas intrínsecos, como a falta de motivação dos estudantes devido ao distanciamento físico de seus colegas e professores. Nesse contexto, buscaram-se formas de ensino que possibilitassem maior envolvimento dos estudantes. Este trabalho teve por objetivo avaliar se atividades práticas promoveriam melhoras na aprendizagem e maior envolvimento de estudantes do primeiro ano do Ensino Médio em aulas de Biologia. Após realizarem as atividades práticas propostas, os estudantes revelaram, por meio de um questionário, que elas favoreceram o aprendizado de tópicos específicos e aumentaram seu engaja- mento com a disciplina. Portanto, mesmo quando realizadas no ambiente domiciliar, atividades práticas se apresentam como uma estratégia promissora para o processo de ensino-aprendizagem.",Ensino Remoto Emergencia, Biologia: Atividades práticas,ND,ND,ND
17/03/2023 11:23:35,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,ATUALIZAÇÃO E APRIMORAMENTO DO WEBSITE DE UM GRUPO DE PESQUISA,"Trata-se de um relato de experiência vivenciado por graduandas de enfermagem na atualização e no aprimoramento do website de um grupo de pesquisa em gerenciamento de serviços de enfermagem. As atividades foram desenvolvidas no período entre abril de 2021 a março de 2022. As alunas foram capacitadas pela doutoranda responsável pelo website sobre o uso da plataforma digital, bem como buscaram informações para atualizar e modernizar a apresentação deste. Destacaram que participar dessas atividades oportunizou desenvolver competências para o uso da plataforma de montagem e de manutenção do website, integração com os demais membros do grupo de pesquisa, devido a necessidade de buscar informações atualizadas. Ressaltam que desenvolveram estratégias para contornar as dificuldades em obter informações atualizadas, sendo necessário uma busca ativa e constante na plataforma Lattes e nas redes sociais dos participantes do grupo de pesquisa para manter as informações no website interessantes para o leitor.",Tecnologia  da   Informação,Informática   em   enfermagem,Grupos   de pesquisa,ND,ND
17/03/2023 11:24:42,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,AVALIAR PARA AS APRENDIZAGENS EM CONTEXTOS DIGITAIS: POTENCIALIDADES E DESAFIOS NO ÂMBITO DE CURSOS DE GRADUAÇÃO DE ENGENHARIA,"O ciberespaço e as tecnologias digitais em geral estão produzindo mudanças disruptivas em distintos contextos, incluindo a educação formal. A conectividade, o amplo acesso e a variedade de tecnologias digitais favorecem a integração entre modelos de aprender e ensinar do ensino presencial e do ensino a distância, trazendo uma nova perspectiva para a educação híbrida. Esse cenário pode catalisar mudanças nos modos ainda rígidos de avaliar, em cursos de graduação em Engenharia. A hipótese deste estudo é de que os contextos digitais facilitam a adoção de práticas avaliativas com foco em avaliar para as aprendizagens, nas quais os feedbacks têm papel fundamental. O objetivo ligado a essa hipótese visa examinar potencialidades e desafios de práticas de avaliação mediadas por contextos digitais como estratégias que favorecem a autorregulação das aprendizagens. A pesquisa foi desenvolvida em uma universidade comunitária do Rio Grande do Sul, com estudantes de duas turmas de Física. A geração de dados ocorreu por meio de questionário online e feedbacks obtidos durante as aulas, nas quais os estudantes se manifestaram sobre a assertividade das estratégias propostas pelos professores. Em geral, os alunos avaliaram as diferentes estratégias como relevantes ou muito relevantes para a autorregulação das aprendizagens, com destaque para provas online, experimentos virtuais rubricas e quizzes just-in-time.",Avaliação,Educação Híbrida,Cultura Digital,Ensino de Física,ND
17/03/2023 11:26:11,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,"BBC MICRO: BIT, LAPTOPS E TABLETS: UMA PROPOSTA METODOLÓGICA HÍBRIDA PARA O ENSINO DA LINGUAGEM MUSICAL NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL","A adoção de novas metodologias de ensino, a criação de projetos e as outras formas de ensinar música podem recorrer ao uso de TDIC. Isso tem ampliado as possibilidades dos professores e estudantes no processo de ensino e aprendizagem. Neste viés, o objetivo do artigo é apresentar uma proposta metodológica baseada no modelo híbrido de rotação por estações para o aprendizado da linguagem musical com alunos dos anos iniciais do Ensino Fundamental. A metodologia de abordagem qualitativa recorreu aos procedimentos técnicos baseados na pesquisa participante, tendo o envolvimento de 20 estudantes dos anos iniciais do Ensino Fundamental que fazem parte do Projeto Música e Tecnologia na Escola do Município de Maracanaú- Ceará. Os resultados apontaram que, mediante o uso de uma metodologia ativa, com estações que disponibilizaram diferentes TDIC, como tablets, laptops, computadores e placa BBC Micro:bit, os estudantes desenvolveram habilidades musicais e outros conhecimentos, conforme definidos na BNCC.",Perfect Piano,Tam Tam Mini,Scratch,BBC Micro:bit,Cifra Melódica
17/03/2023 11:27:12,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,COMO FUNCIONA A MÍDIA ONLINE: RELATO DE UM PUBLICITÁRIO PARA ALUNOS DOS ANOS INICIAIS DE HISTÓRIA E LETRAS,"Dois campos que parecem opostos, mostram similaridades e possibilitam o surgimento de novas áreas de estudo são a Educomunicação e a Educação. Com a ascensão das redes sociais e os constantes ataques à democracia, Educação e Comunicação precisaram e precisam estreitar laços. Neste caminho de aproximação, a publicidade surge como ferramenta de análise que se aproveita das tecnologias para se expandir, mas também consegue dialogar com a sociedade. O presente artigo relata uma situação didática que nasceu da necessidade de um publicitário demonstrar para turmas dos anos iniciais dos cursos de História e Letras da Universidade de Taubaté (UNITAU) como as mídias sociais são operadas. O que parecia ser uma apresentação simples e direta, trouxe importantes discussões com os alunos sobre o papel do professor, a influência dos algoritmos no cotidiano e a missão da Educação frente às novas tecnologias. Ao final da aula, foi possível mostrar aos discentes que a tecnologia é uma ferramenta e que, portanto, pode ser usada para fazer o bem ou o mal, dependendo dos contextos em que ela está inserida e dos objetivos de sua implementação.",educação,comunicação,mídias sociais,publicidade,tecnologias
17/03/2023 11:30:08,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,COMPETÊNCIAS DIGITAIS DE ACADÊMICOS DO CURSO DE PEDAGOGIA,"O presente trabalho apresenta uma análise das competências digitais autodeclaradas por acadêmicos do curso de Pedagogia do Programa Institucional de Fomento e Indução da Inovação da Formação Inicial Continuada de Professores e Diretores Escolares (PRIL) na Universidade Federal de Mato Grosso do Sul. Este levantamento foi realizado no contexto da disciplina Educação, Cultura Digital e Sociedade no 1º semestre do curso em 2022 por meio de um fórum de discussão proposto no início da disciplina. Os dados analisados apontam para um maior número de menções aos dois níveis mais básicos de competências digitais (nível recém-chegado e explorador), corroborando as dificuldades verificadas por nós durante as primeiras atividades, tais como dificuldade para criar e acessar o e-mail institucional e de utilizar o Ambiente Virtual de Aprendizagem para acessar as videoaulas, materiais de apoio e realizar as atividades propostas. Dentre os respondentes, 13 estão no nível 3 (integrador) que apresenta um nível mais aprofundado em relação às competências digitais, apresentando habilidade para operar com várias ferramentas e plataformas. Apenas 12 acadêmicos estão nos níveis mais avançados. Estes resultados sinalizam a importância da formação professores a fim de provê-los com habilidades que os capacite para explorar todo o potencial do mundo virtual, de utilizar a internet e as próprias tecnologias para o seu desenvolvimento pessoal e profissional, bem como contribuir com a formação de seus pares e alunos.",Competências digitais,Acadêmicos,Pedagogia,ND,ND
